epoch,duration_accuracy,duration_loss,loss,pitch_accuracy,pitch_loss,velocity_accuracy,velocity_loss
0,0.6249428,1.3735673,7.495687609649624,0.0648242,4.341974,0.4402828,1.779547
1,0.6712634,1.0738391,6.235187002902946,0.1045379,3.8032165,0.54979646,1.3580965
2,0.6866436,1.0063858,5.820780447778142,0.12622143,3.5701969,0.57606477,1.2444698
3,0.7125774,0.93196374,5.473405853156381,0.14665459,3.372876,0.5966317,1.1685075
4,0.7316727,0.8695916,5.142223430074534,0.17147179,3.1764302,0.61813515,1.0962541
5,0.7427923,0.8230232,4.87803542114244,0.18844196,3.0178082,0.63523394,1.0371945
6,0.7515038,0.784315,4.656949859823301,0.20711018,2.8872044,0.6517153,0.98525625
7,0.75895464,0.75030637,4.46925340476169,0.22242348,2.776545,0.66367364,0.9428714
8,0.76715153,0.71775275,4.3027416212558585,0.23811753,2.6783574,0.67453086,0.906784
9,0.77383053,0.6916492,4.155124533224942,0.2521959,2.5898268,0.6838135,0.8735542
10,0.780103,0.66692114,4.024089763332114,0.26569793,2.511219,0.69313735,0.8457542
11,0.7871679,0.64401144,3.9046211439504432,0.27729094,2.440686,0.7018951,0.8196971
12,0.79288465,0.6222596,3.790725819524419,0.29164717,2.3729637,0.70930475,0.79576707
13,0.7972379,0.6047294,3.6932845510619337,0.30307552,2.3143606,0.71708494,0.77405643
14,0.80034065,0.5874883,3.6072956401765026,0.31478688,2.2608345,0.7218703,0.7592466
15,0.80640215,0.57165706,3.517908544899761,0.32727525,2.2063327,0.7281891,0.740202
16,0.81001437,0.55649567,3.4398781526272795,0.33653733,2.1616282,0.7336743,0.72206235
17,0.8136523,0.5439363,3.372417914561988,0.347199,2.117268,0.737127,0.71136045
18,0.81842226,0.5312967,3.3046174241568766,0.35433078,2.0767295,0.7421697,0.69645965
19,0.82185435,0.5188836,3.2417751327745505,0.3640045,2.0400658,0.7477321,0.68268085
20,0.8244992,0.50890774,3.18573315891777,0.37148622,2.0052323,0.75210583,0.6717568
21,0.8267375,0.50028265,3.13290999253577,0.3806145,1.9727181,0.75498736,0.660273
22,0.8298249,0.4895108,3.0824037666016944,0.3887548,1.9416662,0.75801295,0.6514072
23,0.8327167,0.4798887,3.0313520880455704,0.39740455,1.909694,0.7614245,0.6421355
24,0.8348367,0.47204536,2.9807665180925285,0.40562722,1.8785552,0.7656439,0.63002247
25,0.83574235,0.46738794,2.9467704142540567,0.41187912,1.8545222,0.76809317,0.62504655
26,0.83811444,0.4610278,2.902935467223416,0.41831625,1.8281724,0.77201927,0.6140976
27,0.8404454,0.45317855,2.866087335615481,0.4251805,1.8045143,0.7739077,0.60859853
